num,base,name,KPOINTS,traning_data,E-opt,TM,period,atomic_number,atomic_radius,atomic_volume,atomic_weight,covalent_radius_pyykko,density,dipole_polarizability,electronegativity,en_allen,group_id,mendeleev_number,pettifor_number,vdw_radius,d_center,valence_ele,all_atom,path_atom,modifications_ring,modifications_chain,N_number_chain,Conjugate_structure
1,Pp-meso-H-β-Ph,ScPp-meso-H-β-Ph,3,yes,-289.38,Sc,4,21,160,15,44.955908,148,2.99,97,1.36,7.042,3,11,20,215,3.061,3,37,7,none,none,0,Pp
2,Pp-meso-H-β-Ph,TiPp-meso-H-β-Ph,3,,-289.85,Ti,4,22,140,10.6,47.867,136,4.506,100,1.54,8.17,4,43,51,211,2.803,4,37,7,none,none,0,Pp
3,Pp-meso-H-β-Ph,VPp-meso-H-β-Ph,3,,-290.43,V,4,23,135,8.35,50.9415,134,6,87,1.63,9.063,5,47,54,207,3.743,5,37,7,none,none,0,Pp
4,Pp-meso-H-β-Ph,CrPp-meso-H-β-Ph,3,,-291.33,Cr,4,24,140,7.23,51.9961,122,7.15,83,1.66,9.77,6,51,57,206,2.67,6,37,7,none,none,0,Pp
5,Pp-meso-H-β-Ph,MnPp-meso-H-β-Ph,3,,-290.31,Mn,4,25,140,7.39,54.938044,119,7.3,68,1.55,10.34,7,55,60,205,1.482,7,37,7,none,none,0,Pp
6,Pp-meso-H-β-Ph,FePp-meso-H-β-Ph,3,yes,-288.87,Fe,4,26,140,7.1,55.845,115.9,7.87,62,1.83,10.64,8,59,61,204,1.43,8,37,7,none,none,0,Pp
7,Pp-meso-H-β-Ph,CoPp-meso-H-β-Ph,3,,-287.56,Co,4,27,135,6.7,58.933194,111,8.86,55,1.88,10.86,9,63,64,200,0.67,9,37,7,none,none,0,Pp
8,Pp-meso-H-β-Ph,NiPp-meso-H-β-Ph,3,,-286.3,Ni,4,28,135,6.6,58.6934,110,8.9,49,1.91,11.13,10,67,67,197,0.203,10,37,7,none,none,0,Pp
9,Pp-meso-H-β-Ph,CuPp-meso-H-β-Ph,3,,-283.97,Cu,4,29,135,7.1,63.546,112,8.96,46.5,1.9,10.96,11,71,72,196,-1.6,11,37,7,none,none,0,Pp
10,Pp-meso-H-β-Ph,ZnPp-meso-H-β-Ph,3,,-282.5,Zn,4,30,135,9.2,65.38,118,7.134,38.67,1.65,9.395,12,77,76,201,3.711,12,37,7,none,none,0,Pp
11,Pp-meso-H-β-Ph,YPp-meso-H-β-Ph,3,yes,-289.37,Y,5,39,180,19.8,88.90584,163,4.47,162,1.22,6.631,3,12,19,232,1.256,3,37,7,none,none,0,Pp
12,Pp-meso-H-β-Ph,ZrPp-meso-H-β-Ph,3,,-290.05,Zr,5,40,155,14.1,91.224,154,6.52,112,1.33,7.808,4,44,49,223,5.402,4,37,7,none,none,0,Pp
13,Pp-meso-H-β-Ph,NbPp-meso-H-β-Ph,3,,-290.35,Nb,5,41,145,10.8,92.90637,147,8.57,98,1.6,8.34,5,48,52,218,0.969,5,37,7,none,none,0,Pp
14,Pp-meso-H-β-Ph,MoPp-meso-H-β-Ph,3,yes,-290.81,Mo,5,42,145,9.4,95.95,138,10.2,87,2.16,8.71,6,52,55,217,1.54,6,37,7,none,none,0,Pp
15,Pp-meso-H-β-Ph,TcPp-meso-H-β-Ph,3,,-290.1,Tc,5,43,135,8.5,97.90721,128,11,79,2.1,8.94,7,56,58,216,1.436,7,37,7,none,none,0,Pp
16,Pp-meso-H-β-Ph,RuPp-meso-H-β-Ph,3,yes,-288.73,Ru,5,44,130,8.3,101.07,125,12.1,72,2.2,9.1,8,60,63,213,0.526,8,37,7,none,none,0,Pp
17,Pp-meso-H-β-Ph,RhPp-meso-H-β-Ph,3,,-287.89,Rh,5,45,135,8.3,102.9055,125,12.4,66,2.28,9.259,9,64,66,210,-0.229,9,37,7,none,none,0,Pp
18,Pp-meso-H-β-Ph,PdPp-meso-H-β-Ph,3,,-286.38,Pd,5,46,140,8.9,106.42,120,12,26.14,2.2,9.402,10,68,69,210,-0.296,10,37,7,none,none,0,Pp
19,Pp-meso-H-β-Ph,AgPp-meso-H-β-Ph,3,,-282.06,Ag,5,47,160,10.3,107.8682,128,10.5,55,1.93,11.05,11,72,71,211,-3.212,11,37,7,none,none,0,Pp
20,Pp-meso-H-β-Ph,CdPp-meso-H-β-Ph,3,,-281.14,Cd,5,48,155,13.1,112.414,136,8.69,46,1.69,8.995,12,78,75,218,-1.583,12,37,7,none,none,0,Pp
21,Pp-meso-H-β-Ph,LuPp-meso-H-β-Ph,3,yes,-287.46,Lu,6,71,175,17.8,174.9668,162,9.84,137,1,6.455,3,41,21,224,2.676,3,37,7,none,none,0,Pp
22,Pp-meso-H-β-Ph,HfPp-meso-H-β-Ph,3,,-291.59,Hf,6,72,155,13.6,178.49,152,13.3,103,1.3,6.83,4,45,50,223,3.425,4,37,7,none,none,0,Pp
23,Pp-meso-H-β-Ph,TaPp-meso-H-β-Ph,3,,-291.87,Ta,6,73,145,10.9,180.94788,146,16.4,74,1.5,7.93,5,49,53,222,3.3,5,37,7,none,none,0,Pp
24,Pp-meso-H-β-Ph,WPp-meso-H-β-Ph,3,,-292.05,W,6,74,135,9.53,183.84,137,19.3,68,1.7,8.67,6,53,56,218,1.676,6,37,7,none,none,0,Pp
25,Pp-meso-H-β-Ph,RePp-meso-H-β-Ph,3,,-291.36,Re,6,75,135,8.85,186.207,131,20.8,62,1.9,9.46,7,57,59,216,5.732,7,37,7,none,none,0,Pp
26,Pp-meso-H-β-Ph,OsPp-meso-H-β-Ph,3,yes,-290.26,Os,6,76,130,8.43,190.23,129,22.5872,57,2.2,9.78,8,61,62,216,-0.268,8,37,7,none,none,0,Pp
27,Pp-meso-H-β-Ph,IrPp-meso-H-β-Ph,3,,-289.25,Ir,6,77,135,8.54,192.217,122,22.5622,54,2.2,9.96,9,65,65,213,-0.703,9,37,7,none,none,0,Pp
